iter	Logloss
0	0.6416555582
1	0.5961925086
2	0.5705835012
3	0.5429530493
4	0.5191958871
5	0.4999045295
6	0.4879971149
7	0.4731769231
8	0.4641569573
9	0.4536047215
10	0.4477694071
11	0.4463289303
12	0.4390719721
13	0.4345468507
14	0.4338282103
15	0.4263616157
16	0.4245701526
17	0.4207748408
18	0.415808074
19	0.4122561809
20	0.4094686357
21	0.4075849326
22	0.4048135398
23	0.4011387173
24	0.3979624857
25	0.3965464435
26	0.3920320445
27	0.3895788178
28	0.3865923587
29	0.3848268768
30	0.3832915825
31	0.3788275306
32	0.3781115708
33	0.3777491405
34	0.3766969033
35	0.3750704688
36	0.3737022306
37	0.372544866
38	0.3702878383
39	0.369986718
40	0.3672862922
41	0.3643315191
42	0.3633656109
43	0.3632090366
44	0.3600179243
45	0.3583646493
46	0.356516447
47	0.3554087078
48	0.3546647392
49	0.3523465733
50	0.3498636882
51	0.3486250122
52	0.3478773321
53	0.3470452475
54	0.3447351921
55	0.3431262845
56	0.3415310205
57	0.3390832581
58	0.3376454275
59	0.3365903723
60	0.3337619309
61	0.3326183473
62	0.3311731623
63	0.3303711828
64	0.329733957
65	0.32897851
66	0.3282672585
67	0.3265884835
68	0.3259798851
69	0.3255064849
70	0.3228301845
71	0.3218232426
72	0.3210542551
73	0.3187121701
74	0.3159822921
75	0.3132239242
76	0.311827746
77	0.3084959023
78	0.3074081989
79	0.3052694611
80	0.3034349366
81	0.3016528556
82	0.3011790087
83	0.2996093478
84	0.2982005914
85	0.297564534
86	0.2967731395
87	0.2943973064
88	0.2931809687
89	0.2920735388
90	0.2894086137
91	0.2859997545
92	0.2852193917
93	0.2843727529
94	0.2826307261
95	0.2812720247
96	0.2799762485
97	0.2778269774
98	0.2766186299
99	0.2755462711
100	0.2749047495
101	0.2743275449
102	0.2723572723
103	0.2706170843
104	0.2693839412
105	0.2689964748
106	0.2680708443
107	0.2676761609
108	0.2656954752
109	0.2650830964
110	0.2648950767
111	0.2631277905
112	0.2620488677
113	0.2608598171
114	0.2601518819
115	0.2588861422
116	0.2566173267
117	0.2551296817
118	0.253451577
119	0.2518865555
120	0.2506733967
121	0.249688037
122	0.2489823357
123	0.2476541174
124	0.2461567467
125	0.2452876149
126	0.2449391202
127	0.2441730367
128	0.2419905846
129	0.2414467673
130	0.2405715526
131	0.2402817733
132	0.2392125934
133	0.2386622464
134	0.2382744535
135	0.2368162263
136	0.234300229
137	0.2329362694
138	0.2323602162
139	0.2309266642
140	0.2292411706
141	0.228469073
142	0.2264384183
143	0.2257443844
144	0.22543182
145	0.2240988592
146	0.2229467698
147	0.2218288065
148	0.22089089
149	0.2201523857
150	0.2198978837
151	0.2190906119
152	0.2179084517
153	0.2175303846
154	0.2159897119
155	0.2152149336
156	0.2143680714
157	0.2130943071
158	0.2120812823
159	0.2109966718
160	0.2103763543
161	0.2093747392
162	0.2085807329
163	0.2083731241
164	0.2077743546
165	0.206904587
166	0.206210261
167	0.2051944525
168	0.2035154026
169	0.2033010752
170	0.2020137876
171	0.2004460512
172	0.2002793216
173	0.199576782
174	0.1989682351
175	0.1983503576
176	0.1971055128
177	0.1962307449
178	0.1951887318
179	0.1946643144
180	0.1942233735
181	0.1937231846
182	0.1928037744
183	0.191651393
184	0.1909995613
185	0.1897155901
186	0.1892797527
187	0.1885947229
188	0.1877012939
189	0.1875174668
190	0.1871154805
191	0.186631547
192	0.1859749212
193	0.1851485415
194	0.1841184536
195	0.1835044424
196	0.1823196189
197	0.1818089653
198	0.1812026866
199	0.1807757673
200	0.1803704474
201	0.1794291629
202	0.1783261491
203	0.1781251388
204	0.1774076325
205	0.1764959033
206	0.1760558903
207	0.1758576636
208	0.1756784074
209	0.175145656
210	0.1743292083
211	0.1734330987
212	0.1732290297
213	0.1729789438
214	0.172599313
215	0.1720359926
216	0.1717127917
217	0.1715789509
218	0.1714572415
219	0.1708053583
220	0.1702537913
221	0.1693329206
222	0.1687177925
223	0.1682796181
224	0.1670634006
225	0.1665575584
226	0.1660710473
227	0.1653356361
228	0.1646314641
229	0.1637511975
230	0.1629834816
231	0.1618997819
232	0.1613877021
233	0.1607412144
234	0.1599865922
235	0.1595137591
236	0.1590090337
237	0.1586710896
238	0.1584424141
239	0.1579442528
240	0.1576611578
241	0.1567667837
242	0.1562230179
243	0.155692363
244	0.1552901017
245	0.1550617011
246	0.1545547592
247	0.1539289258
248	0.1535882324
249	0.153354505
250	0.1531643201
251	0.1528143992
252	0.1523657258
253	0.1522365245
254	0.1518644028
255	0.1515284863
256	0.1511839438
257	0.1498514125
258	0.1492462851
259	0.1489712318
260	0.1488718951
261	0.1488068391
262	0.1482963402
263	0.1472494814
264	0.1472170737
265	0.1464742049
266	0.1459015024
267	0.145029879
268	0.1444745488
269	0.1440740832
270	0.1436718907
271	0.1432854896
272	0.143141777
273	0.1426786782
274	0.1423893113
275	0.1420501901
276	0.1419370466
277	0.1417257864
278	0.1411479031
279	0.1408842682
280	0.1405286081
281	0.140270678
282	0.1401049794
283	0.1397163531
284	0.1394958912
285	0.139397448
286	0.1392085519
287	0.1389248726
288	0.1379967678
289	0.1376590814
290	0.137105375
291	0.136635042
292	0.1361357294
293	0.1356237871
294	0.1349482081
295	0.1341831728
296	0.1336382901
297	0.1333266021
298	0.1329817846
299	0.1326313482
