iter	Passed	Remaining
0	52	15639
1	53	7952
2	54	5427
3	55	4140
4	56	3358
5	57	2831
6	58	2464
7	59	2181
8	61	1984
9	62	1816
10	63	1672
11	64	1557
12	65	1451
13	67	1370
14	67	1284
15	68	1216
16	69	1151
17	70	1101
18	71	1062
19	73	1023
20	74	983
21	75	952
22	76	917
23	81	941
24	82	912
25	84	885
26	85	861
27	86	835
28	87	819
29	88	798
30	90	783
31	91	765
32	92	747
33	93	734
34	94	717
35	96	706
36	97	691
37	98	677
38	99	664
39	100	651
40	101	639
41	102	629
42	103	619
43	104	606
44	105	596
45	106	586
46	107	576
47	108	567
48	109	560
49	110	554
50	111	546
51	113	540
52	114	535
53	115	527
54	116	519
55	117	512
56	118	505
57	119	498
58	120	491
59	121	484
60	122	478
61	122	471
62	123	465
63	125	461
64	126	456
65	127	450
66	127	445
67	129	440
68	130	435
69	130	430
70	132	426
71	133	421
72	134	416
73	134	411
74	135	407
75	136	403
76	137	399
77	138	395
78	140	392
79	141	388
80	143	386
81	144	382
82	145	379
83	146	375
84	147	373
85	148	369
86	149	366
87	150	362
88	151	359
89	153	357
90	154	354
91	155	351
92	156	348
93	157	345
94	158	342
95	159	338
96	160	336
97	161	332
98	162	329
99	163	327
100	165	325
101	166	322
102	167	320
103	168	318
104	169	315
105	171	313
106	172	310
107	173	308
108	174	305
109	175	303
110	177	301
111	178	300
112	179	297
113	181	296
114	182	294
115	183	291
116	184	289
117	185	286
118	186	284
119	187	281
120	188	279
121	189	276
122	191	274
123	191	272
124	193	270
125	194	268
126	195	266
127	197	264
128	198	263
129	200	261
130	201	259
131	202	257
132	203	255
133	204	253
134	205	251
135	206	249
136	208	247
137	208	245
138	210	244
139	211	241
140	213	240
141	214	238
142	215	236
143	216	234
144	218	233
145	219	231
146	220	229
147	221	227
148	223	226
149	224	224
150	225	222
151	226	220
152	227	218
153	228	216
154	229	214
155	230	212
156	231	210
157	232	209
158	234	207
159	235	205
160	236	204
161	237	202
162	238	200
163	239	198
164	240	196
165	241	195
166	243	193
167	244	192
168	245	190
169	246	188
170	247	186
171	248	185
172	249	183
173	251	181
174	252	180
175	253	178
176	254	177
177	256	175
178	257	174
179	258	172
180	260	171
181	261	169
182	263	168
183	264	166
184	265	165
185	266	163
186	267	161
187	269	160
188	270	158
189	271	157
190	272	155
191	274	154
192	275	152
193	276	151
194	277	149
195	278	147
196	279	146
197	280	144
198	281	142
199	282	141
200	283	139
201	284	138
202	285	136
203	286	134
204	287	133
205	288	131
206	290	130
207	291	129
208	293	127
209	294	126
210	295	124
211	296	123
212	298	121
213	298	120
214	300	118
215	300	117
216	302	115
217	302	113
218	303	112
219	304	110
220	305	109
221	306	107
222	308	106
223	309	105
224	311	103
225	312	102
226	313	100
227	313	99
228	315	97
229	316	96
230	317	94
231	318	93
232	320	92
233	321	90
234	322	89
235	324	87
236	325	86
237	326	85
238	327	83
239	328	82
240	329	80
241	330	79
242	331	77
243	333	76
244	333	74
245	335	73
246	336	72
247	337	70
248	338	69
249	339	67
250	340	66
251	341	65
252	343	63
253	344	62
254	345	60
255	346	59
256	347	58
257	348	56
258	349	55
259	351	54
260	351	52
261	353	51
262	354	49
263	355	48
264	356	47
265	358	45
266	359	44
267	361	43
268	361	41
269	363	40
270	363	38
271	364	37
272	365	36
273	366	34
274	367	33
275	368	32
276	369	30
277	369	29
278	370	27
279	372	26
280	373	25
281	374	23
282	375	22
283	376	21
284	378	19
285	379	18
286	381	17
287	382	15
288	384	14
289	385	13
290	386	11
291	387	10
292	388	9
293	389	7
294	390	6
295	392	5
296	393	3
297	394	2
298	395	1
299	395	0
